,ACCOUNT_STATUS,SERVICE_PLAN,MODEL,SALES_CHANNEL,DIRECT_INDIRECT_CHANNEL,FEEDBACK,SITE_TYPE_DESC,AGE,INCOME,MARITAL_STATUS,PRESENCE_OF_CHILDREN,COMPUTER_OWNER,cluster 3,predicted_accountstatus,pred_prob_1
0,0,no-plan,HN9000,Vars,Direct Channel,No-Feedback,Broadband Remote,69,0,Married,No Children,No ,0,0,0.40696355997356914
1,0,proffessional_plan,HN7000S,Retail/others,Direct Channel,Good,Spaceway,43,4,Married,No Children,No ,1,0,0.05611494866478907
2,0,power_plan,HN9000,Call Center,Direct Channel,Bad,Broadband Remote,58,4,Married,No Children,No ,0,1,0.7178948524209047
3,0,power_plan,DW6000,Retail/others,Indirect Channel,No-Feedback,Spaceway,22,6,Married,At Least One Children,Yes,1,1,0.9380784470973964
4,0,Home,HN7000S,Call Center,Direct Channel,Good,Broadband Remote,36,7,Single,No Children,Yes,0,1,0.796976777693484
5,0,proffessional_plan,HN9000,Retail/others,Direct Channel,Good,Broadband Remote,51,7,Married,No Children,Yes,0,0,0.16023047962042847
6,0,power_plan,HN7000S,UNKNOWN-channel,Direct Channel,No-Feedback,Broadband Remote,56,3,Married,No Children,Yes,0,0,0.4794490323010213
7,0,power_plan,HN7000S,Vars,Direct Channel,Good,Broadband Remote,57,7,Single,Not Identified,Not Identified,0,1,0.9076157049519852
8,0,Home,DW6000,Vars,Direct Channel,Good,Broadband Remote,42,4,Divorcee/Widow,No Children,Yes,0,1,0.8671181522529123
9,0,basic_plan,HN7000S,Retail/others,Direct Channel,Bad,Broadband Remote,34,4,Divorcee/Widow,At Least One Children,No ,0,1,0.8710233064682475
10,0,basic_plan,HN7000S,Call Center,Direct Channel,Good,Broadband Remote,54,3,Married,At Least One Children,No ,0,0,0.08021397097962377
11,0,proffessional_plan,HN7000S,UNKNOWN-channel,Indirect Channel,Bad,Broadband Remote,57,6,Married,No Children,Yes,0,1,0.8628172315741507
12,0,power_plan,HN7000S,Web orders,Direct Channel,Bad,Broadband Remote,52,10,Single,No Children,Not Identified,0,1,0.7699642190611963
13,0,basic_plan,DW6000,Vars,Direct Channel,Bad,Broadband Remote,39,6,Single,No Children,Not Identified,0,0,0.3213596436970271
14,0,basic_plan,HN7000S,Retail/others,Direct Channel,Good,Broadband Remote,24,6,Single,No Children,Yes,0,0,0.39363384752592034
15,0,power_plan,HN7000S,Retail/others,Direct Channel,Good,Broadband Remote,45,7,Married,No Children,Yes,0,1,0.9236626526992913
16,0,proffessional_plan,DW4020,Call Center,Direct Channel,Bad,Broadband Remote,0,0,Single,Not Identified,Yes,0,1,0.9921371320668996
17,0,Home,UNK,Vars,Direct Channel,Bad,Spaceway,62,0,Single,No Children,Not Identified,1,0,0.09577718670535694
18,0,Elite,NONE,Call Center,Direct Channel,Bad,Broadband Remote,64,5,Married,No Children,No ,0,0,0.13073472764891542
19,0,proffessional_plan,DW4020,Call Center,Direct Channel,Bad,Broadband Remote,30,12,Married,No Children,Yes,0,1,0.9925536127933287
20,0,basic_plan,HN9000,Retail/others,Direct Channel,Good,Spaceway,68,9,Single,No Children,No ,1,1,0.933734341037774
21,0,basic_plan,DW6000,Retail/others,Direct Channel,No-Feedback,Broadband Remote,63,0,Married,At Least One Children,No ,0,1,0.5864084043960859
22,0,Home,HN7000S,Web orders,Direct Channel,Good,Broadband Remote,33,6,Single,No Children,No ,0,0,0.04591310611532566
23,0,basic_plan,HN7000S,UNKNOWN-channel,Direct Channel,No-Feedback,Broadband Remote,51,0,Married,No Children,Yes,0,0,0.08108664810327977
24,0,Home,DW4020,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,0,0,Single,Not Identified,Yes,0,1,0.7130538180622552
25,0,basic_plan,HN7000S,Vars,Indirect Channel,No-Feedback,Spaceway,23,13,Single,No Children,No ,1,1,0.8028203058954088
26,0,basic_plan,HN9000,Web orders,Direct Channel,Bad,Spaceway,58,7,Married,At Least One Children,No ,1,0,0.3113891859499219
27,0,power_plan,HN9000,Retail/others,Direct Channel,Good,Broadband Remote,57,4,Married,No Children,No ,0,1,0.6533508987822058
28,0,basic_plan,HN9000,Retail/others,Direct Channel,Good,Broadband Remote,50,0,Divorcee/Widow,No Children,No ,0,0,0.2398245117079881
29,0,Home,HN7000S,Retail/others,Direct Channel,Good,Broadband Remote,43,4,Not Identified,No Children,No ,0,0,0.2570095446634205
30,0,Elite,HN7000S,Vars,Direct Channel,No-Feedback,Spaceway,28,0,Married,No Children,Yes,1,1,0.8315900249717805
31,0,proffessional_plan,HN9000,Vars,Direct Channel,Good,Broadband Remote,29,0,Single,No Children,No ,0,1,0.911560721054278
32,0,basic_plan,UNK,Call Center,Direct Channel,Bad,Broadband Remote,31,5,Single,No Children,Not Identified,0,0,0.09006678322750986
33,0,no-plan,HN7000S,UNKNOWN-channel,Indirect Channel,Bad,Spaceway,38,0,Married,No Children,No ,1,0,0.2861003413540439
34,0,Home,HN7000S,UNKNOWN-channel,Unknown Channel,No-Feedback,Broadband Remote,36,0,Single,Not Identified,Yes,0,0,0.4601988634017623
35,0,proffessional_plan,HN9000,Web orders,Direct Channel,Good,Broadband Remote,35,0,Married,At Least One Children,Not Identified,0,1,0.6110865483050768
36,0,proffessional_plan,HN7000S,UNKNOWN-channel,Direct Channel,Bad,Broadband Remote,41,6,Married,At Least One Children,No ,0,1,0.8738339812504743
37,0,proffessional_plan,HN7000S,Retail/others,Direct Channel,Bad,Spaceway,28,4,Single,Not Identified,No ,1,0,0.4434199542589271
38,0,no-plan,DW4020,UNKNOWN-channel,Direct Channel,No-Feedback,Broadband Remote,74,3,Married,At Least One Children,No ,0,0,0.17898078080463592
39,0,Elite,HN7000S,Retail/others,Indirect Channel,Bad,Broadband Remote,38,6,Married,At Least One Children,Not Identified,0,1,0.5898613010390845
40,0,no-plan,HN9000,Retail/others,Indirect Channel,Good,Spaceway,58,1,Single,No Children,No ,1,0,0.05384001172269198
41,0,no-plan,HN7000S,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,32,5,Single,Not Identified,No ,0,1,0.8917119079877139
42,0,basic_plan,HN7000S,UNKNOWN-channel,Direct Channel,Bad,Broadband Remote,42,0,Married,No Children,Not Identified,0,1,0.8318893537474941
43,0,Elite,NONE,Retail/others,Direct Channel,Bad,Broadband Remote,66,0,Married,No Children,Yes,0,1,0.9675616173106872
44,0,proffessional_plan,UNK,UNKNOWN-channel,Direct Channel,Good,Spaceway,56,0,Single,Not Identified,Yes,1,0,0.22855669954663066
45,0,no-plan,DW4000,Web orders,Direct Channel,Bad,Broadband Remote,23,1,Single,Not Identified,No ,0,1,0.7186075785222606
46,0,proffessional_plan,HN7000S,UNKNOWN-channel,Indirect Channel,Good,Broadband Remote,52,9,Married,No Children,No ,0,1,0.9337635877887808
47,0,proffessional_plan,HN7000S,Retail/others,Indirect Channel,Good,Broadband Remote,41,7,Single,No Children,No ,0,1,0.5141800663799305
48,0,proffessional_plan,DW6000,UNKNOWN-channel,Direct Channel,Bad,Broadband Remote,31,9,Married,At Least One Children,Yes,0,0,0.24897191208214314
49,0,Home,HN9000,Call Center,Indirect Channel,Good,Broadband Remote,33,0,Single,No Children,Not Identified,0,0,0.21341442732830784
50,0,power_plan,HN7000S,Retail/others,Direct Channel,Good,Broadband Remote,58,7,Married,No Children,No ,0,1,0.7092913541969946
51,0,basic_plan,HN7000S,Retail/others,Direct Channel,Good,Broadband Remote,46,0,Married,No Children,No ,0,1,0.8916565713030058
52,0,no-plan,HN7000S,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,52,0,Single,No Children,Yes,0,1,0.6234565234667627
53,0,Home,HN7000S,Vars,Direct Channel,Good,Broadband Remote,48,7,Single,Not Identified,No ,0,1,0.8131718196690709
54,0,proffessional_plan,HN7000S,Vars,Direct Channel,Good,Broadband Remote,41,0,Divorcee/Widow,At Least One Children,Not Identified,0,0,0.07680300345292124
55,0,proffessional_plan,HN7000S,UNKNOWN-channel,Indirect Channel,Good,Spaceway,33,8,Single,Not Identified,No ,1,0,0.12333011274024852
56,0,basic_plan,HN7000S,Retail/others,Indirect Channel,No-Feedback,Spaceway,47,3,Married,No Children,No ,1,0,0.1492366992043672
57,0,Elite,NONE,Retail/others,Direct Channel,Good,Spaceway,25,0,Married,No Children,No ,1,1,0.9294765780957956
58,0,Home,HN9000,Vars,Indirect Channel,Bad,Broadband Remote,39,6,Married,No Children,Yes,0,0,0.20538849123809605
59,0,proffessional_plan,HN7000S,Web orders,Direct Channel,Good,Spaceway,46,3,Single,No Children,No ,1,0,0.10536999557711764
60,0,basic_plan,HN7000S,Vars,Indirect Channel,Good,Broadband Remote,25,0,Single,No Children,Not Identified,0,1,0.74295988505585
61,0,basic_plan,HN9000,Retail/others,Direct Channel,Good,Broadband Remote,56,9,Not Identified,No Children,Yes,0,1,0.981717093005237
62,0,Home,HN7000S,Call Center,Direct Channel,Good,Broadband Remote,41,0,Single,No Children,No ,0,1,0.7024303207792572
63,0,power_plan,HN7000S,Call Center,Indirect Channel,Bad,Broadband Remote,26,6,Married,No Children,No ,0,1,0.6119874148466626
64,0,Home,HN7000S,Web orders,Indirect Channel,Good,Broadband Remote,39,0,Single,Not Identified,Yes,0,0,0.15646926765031552
65,0,basic_plan,UNK,UNKNOWN-channel,Direct Channel,Good,Spaceway,61,8,Single,No Children,No ,1,0,0.4876642325512692
66,0,proffessional_plan,HN7000S,UNKNOWN-channel,Direct Channel,Bad,Broadband Remote,22,0,Married,No Children,Not Identified,0,1,0.8179445075285594
67,0,basic_plan,HN7000S,Call Center,Indirect Channel,Bad,Broadband Remote,46,6,Single,No Children,Yes,0,0,0.0328955731468053
68,0,power_plan,DW4020,UNKNOWN-channel,Direct Channel,Bad,Broadband Remote,22,7,Married,No Children,Yes,0,0,0.043502922035022415
69,0,power_plan,DW4020,Retail/others,Direct Channel,Good,Broadband Remote,40,7,Single,No Children,Yes,0,0,0.12717579225602318
70,0,no-plan,DW4020,Call Center,Indirect Channel,No-Feedback,Broadband Remote,56,3,Married,No Children,No ,0,0,0.1453520108642259
71,0,no-plan,DW7000,Vars,Direct Channel,Good,Broadband Remote,56,8,Single,No Children,No ,0,0,0.05653299491495687
72,0,power_plan,UNK,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,62,0,Married,At Least One Children,No ,0,0,0.31094198522018324
73,0,power_plan,HN7000S,Call Center,Direct Channel,Good,Broadband Remote,50,6,Single,No Children,Yes,0,0,0.10145760704470033
74,0,basic_plan,HN9000,UNKNOWN-channel,Direct Channel,Bad,Broadband Remote,37,1,Not Identified,No Children,No ,0,1,0.9353278373627258
75,0,basic_plan,HN7000S,Web orders,Direct Channel,Good,Spaceway,41,6,Single,Not Identified,No ,1,0,0.28876945815189736
76,0,power_plan,HN7000S,Web orders,Direct Channel,Bad,Broadband Remote,29,0,Married,At Least One Children,Yes,0,0,0.036655771429689635
77,0,Home,HN9000,Vars,Direct Channel,No-Feedback,Spaceway,55,0,Married,No Children,No ,1,0,0.19522294447890387
78,0,basic_plan,HN7000S,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,54,0,Single,Not Identified,No ,0,0,0.34410519343102774
79,0,no-plan,DW7000,Retail/others,Direct Channel,Bad,Broadband Remote,66,0,Single,No Children,Yes,0,0,0.06933133877604472
80,0,proffessional_plan,HN9000,Retail/others,Direct Channel,Good,Spaceway,56,9,Married,No Children,No ,1,0,0.11874050312949203
81,0,power_plan,HN7000S,UNKNOWN-channel,Direct Channel,No-Feedback,Spaceway,71,4,Divorcee/Widow,No Children,No ,1,1,0.9857258098817285
82,0,Elite,HN7000S,Retail/others,Direct Channel,No-Feedback,Spaceway,35,4,Single,No Children,Not Identified,1,0,0.13393628601308327
83,0,power_plan,NONE,UNKNOWN-channel,Indirect Channel,Good,Broadband Remote,25,6,Single,Not Identified,Yes,0,0,0.3238336934601498
84,0,proffessional_plan,HN7000S,Web orders,Indirect Channel,No-Feedback,Broadband Remote,50,3,Married,At Least One Children,Yes,0,0,0.4019544867470068
85,0,Elite,HN7000S,Call Center,Direct Channel,Bad,Spaceway,56,0,Married,At Least One Children,No ,1,1,0.9431009571986586
86,0,no-plan,DW7000,UNKNOWN-channel,Direct Channel,No-Feedback,Broadband Remote,63,5,Married,No Children,Yes,0,0,0.0572857780915431
87,0,Elite,HN7000S,Call Center,Direct Channel,Good,Broadband Remote,0,0,Single,Not Identified,Yes,0,0,0.14344382110349105
88,0,Elite,NONE,Call Center,Direct Channel,Good,Broadband Remote,30,9,Single,No Children,No ,0,1,0.8911872379139293
89,0,Home,HN9000,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,23,6,Married,No Children,No ,0,0,0.3624298657435986
90,0,basic_plan,HN7000S,UNKNOWN-channel,Direct Channel,Bad,Broadband Remote,37,0,Married,No Children,No ,0,0,0.21110664468706788
91,0,Elite,HN9000,Call Center,Indirect Channel,Good,Broadband Remote,52,8,Married,At Least One Children,Yes,0,1,0.9662985765974448
92,0,power_plan,UNK,Retail/others,Indirect Channel,Good,Spaceway,65,5,Single,No Children,Not Identified,1,0,0.13730385598843697
93,0,proffessional_plan,HN9000,Retail/others,Direct Channel,Good,Spaceway,58,5,Single,No Children,No ,1,1,0.6513943046378586
94,0,proffessional_plan,HN9000,UNKNOWN-channel,Direct Channel,Good,Spaceway,76,3,Married,No Children,No ,1,0,0.061736129600362434
95,0,no-plan,DW7000,Vars,Direct Channel,No-Feedback,Broadband Remote,26,6,Married,No Children,No ,0,0,0.10764921923114537
96,0,basic_plan,DW4020,Vars,Direct Channel,No-Feedback,Broadband Remote,22,3,Single,No Children,No ,0,0,0.40158287943639015
97,0,Home,HN7000S,Call Center,Direct Channel,Good,Spaceway,39,6,Married,At Least One Children,No ,1,0,0.23369735662101196
98,0,proffessional_plan,HN9000,Retail/others,Direct Channel,No-Feedback,Broadband Remote,26,9,Married,At Least One Children,No ,0,0,0.3960982150515607
99,0,proffessional_plan,HN9000,UNKNOWN-channel,Direct Channel,Bad,Broadband Remote,56,7,Single,No Children,Not Identified,0,0,0.3284396781242727
100,0,proffessional_plan,HN7000S,Retail/others,Direct Channel,No-Feedback,Spaceway,30,0,Married,No Children,No ,1,1,0.748749804022191
101,0,Elite,UNK,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,34,4,Single,No Children,No ,0,1,0.9840123853911672
102,0,Elite,UNK,Retail/others,Direct Channel,No-Feedback,Broadband Remote,48,9,Married,At Least One Children,No ,0,0,0.33424945289145513
103,0,Elite,HN7000S,Call Center,Direct Channel,Good,Broadband Remote,36,2,Single,Not Identified,Not Identified,0,1,0.9762531254322561
104,0,no-plan,HN7000S,UNKNOWN-channel,Direct Channel,Bad,Broadband Remote,23,6,Single,No Children,Yes,0,0,0.059086812591017814
105,0,proffessional_plan,HN7000S,Vars,Direct Channel,Good,Broadband Remote,40,6,Divorcee/Widow,No Children,No ,0,1,0.9250153651645411
106,0,Elite,NONE,UNKNOWN-channel,Direct Channel,Bad,Broadband Remote,26,3,Married,No Children,No ,0,0,0.07380887574089014
107,0,proffessional_plan,HN7000S,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,28,0,Married,At Least One Children,Yes,0,0,0.17740007854580314
108,0,Home,HN7000S,Call Center,Direct Channel,Bad,Broadband Remote,28,3,Married,No Children,Yes,0,1,0.8833345376923681
109,0,proffessional_plan,HN7000S,Retail/others,Indirect Channel,No-Feedback,Broadband Remote,57,6,Married,At Least One Children,No ,0,1,0.8641820516658886
110,0,proffessional_plan,DW7000,Call Center,Indirect Channel,No-Feedback,Broadband Remote,33,3,Single,No Children,No ,0,1,0.545015416512988
111,0,power_plan,DW4000,UNKNOWN-channel,Indirect Channel,Bad,Broadband Remote,49,3,Married,At Least One Children,No ,0,0,0.4938265678670519
112,0,Home,UNK,Vars,Direct Channel,Bad,Broadband Remote,44,0,Divorcee/Widow,No Children,No ,0,0,0.08963753351004118
113,0,proffessional_plan,HN7000S,Retail/others,Direct Channel,Bad,Broadband Remote,27,0,Married,At Least One Children,No ,0,0,0.0842790498579358
114,0,basic_plan,HN7000S,Call Center,Indirect Channel,Good,Spaceway,22,4,Single,No Children,No ,1,1,0.7566342252005515
115,0,proffessional_plan,HN9000,Vars,Indirect Channel,Good,Broadband Remote,26,4,Not Identified,At Least One Children,No ,0,0,0.1126677623627825
116,0,no-plan,HN9000,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,29,0,Married,At Least One Children,No ,0,0,0.11867291468639227
117,0,no-plan,NONE,Retail/others,Direct Channel,Bad,Broadband Remote,62,6,Single,No Children,No ,0,1,0.764197823825509
118,0,basic_plan,DW6000,Retail/others,Direct Channel,Good,Spaceway,31,0,Divorcee/Widow,At Least One Children,Yes,1,0,0.44432994313600077
119,0,Elite,UNK,Call Center,Direct Channel,Bad,Broadband Remote,63,0,Married,No Children,Yes,0,1,0.8533394332434436
120,0,basic_plan,HN7000S,Retail/others,Direct Channel,Bad,Spaceway,28,3,Married,At Least One Children,Yes,1,1,0.7605569855006471
121,0,basic_plan,HN9000,Retail/others,Indirect Channel,Good,Broadband Remote,49,0,Single,No Children,No ,0,1,0.9919063589456858
122,0,proffessional_plan,HN7000S,Retail/others,Direct Channel,Bad,Broadband Remote,25,6,Single,No Children,Not Identified,0,0,0.12237545106506802
